NO,Temp,Time
1,15,38,11/02/2013 9:20:53
2,15,38,11/02/2013 9:20:54
3,15,50,11/02/2013 9:20:56
4,15,50,11/02/2013 9:20:58
5,15,50,11/02/2013 9:21:00
6,15,50,11/02/2013 9:21:02
7,15,50,11/02/2013 9:21:04
8,15,50,11/02/2013 9:21:06
9,15,50,11/02/2013 9:21:08
10,15,50,11/02/2013 9:21:10
11,15,50,11/02/2013 9:21:12
12,15,50,11/02/2013 9:21:14
13,15,50,11/02/2013 9:21:16
14,15,50,11/02/2013 9:21:18
15,15,50,11/02/2013 9:21:19
16,15,50,11/02/2013 9:21:21
17,15,63,11/02/2013 9:21:23
18,15,63,11/02/2013 9:21:25
19,15,63,11/02/2013 9:21:27
20,15,63,11/02/2013 9:21:29
21,15,63,11/02/2013 9:21:31
22,15,63,11/02/2013 9:21:33
23,15,63,11/02/2013 9:21:35
24,15,63,11/02/2013 9:21:37
25,15,63,11/02/2013 9:21:39
26,15,63,11/02/2013 9:21:41
27,15,63,11/02/2013 9:21:43
28,15,63,11/02/2013 9:21:45
29,15,63,11/02/2013 9:21:47
30,15,63,11/02/2013 9:21:49
31,15,63,11/02/2013 9:21:51
32,15,75,11/02/2013 9:21:54
33,15,75,11/02/2013 9:21:56
34,15,75,11/02/2013 9:21:59
35,15,75,11/02/2013 9:22:00
36,15,75,11/02/2013 9:22:03
37,15,75,11/02/2013 9:22:04
38,15,75,11/02/2013 9:22:06
39,15,75,11/02/2013 9:22:08
40,15,75,11/02/2013 9:22:10
41,15,75,11/02/2013 9:22:12
42,15,75,11/02/2013 9:22:14
43,15,75,11/02/2013 9:22:17
44,15,75,11/02/2013 9:22:21
45,15,75,11/02/2013 9:22:22
46,15,75,11/02/2013 9:22:24
47,15,75,11/02/2013 9:22:26
48,15,88,11/02/2013 9:22:28
49,15,88,11/02/2013 9:22:30
50,15,88,11/02/2013 9:22:32
51,15,88,11/02/2013 9:22:34
52,15,88,11/02/2013 9:22:36
53,15,88,11/02/2013 9:22:38
54,15,88,11/02/2013 9:22:40
55,15,88,11/02/2013 9:22:42
56,15,88,11/02/2013 9:22:44
57,15,88,11/02/2013 9:22:46
58,15,88,11/02/2013 9:22:48
59,15,88,11/02/2013 9:22:50
60,15,88,11/02/2013 9:22:52
61,15,88,11/02/2013 9:22:54
62,15,88,11/02/2013 9:22:56
63,15,88,11/02/2013 9:22:58
64,15,88,11/02/2013 9:23:00
65,15,88,11/02/2013 9:23:02
66,15,88,11/02/2013 9:23:04
67,15,88,11/02/2013 9:23:06
68,15,88,11/02/2013 9:23:08
69,15,88,11/02/2013 9:23:10
70,15,88,11/02/2013 9:23:12
71,15,88,11/02/2013 9:23:14
72,16,00,11/02/2013 9:23:16
73,16,00,11/02/2013 9:23:18
74,16,00,11/02/2013 9:23:20
75,16,00,11/02/2013 9:23:22
76,16,00,11/02/2013 9:23:24
77,16,00,11/02/2013 9:23:26
78,16,00,11/02/2013 9:23:28
79,16,00,11/02/2013 9:23:30
80,16,00,11/02/2013 9:23:32
81,16,00,11/02/2013 9:23:34
82,16,00,11/02/2013 9:23:36
83,16,00,11/02/2013 9:23:38
84,16,00,11/02/2013 9:23:40
85,16,00,11/02/2013 9:23:42
86,16,00,11/02/2013 9:23:44
87,16,00,11/02/2013 9:23:46
88,16,00,11/02/2013 9:23:48
