NO,Temp,Time
1,20,75,08/02/2013 11:49:39
2,20,75,08/02/2013 11:49:40
3,20,75,08/02/2013 11:49:42
4,20,75,08/02/2013 11:49:44
5,20,75,08/02/2013 11:49:46
6,20,75,08/02/2013 11:49:48
7,20,75,08/02/2013 11:49:50
8,20,75,08/02/2013 11:49:52
9,20,75,08/02/2013 11:49:54
10,20,75,08/02/2013 11:49:56
11,20,75,08/02/2013 11:49:58
12,20,75,08/02/2013 11:50:00
13,20,75,08/02/2013 11:50:02
14,20,75,08/02/2013 11:50:05
15,20,75,08/02/2013 11:50:07
16,20,75,08/02/2013 11:50:09
17,20,75,08/02/2013 11:50:11
18,20,75,08/02/2013 11:50:13
19,20,75,08/02/2013 11:50:15
20,20,75,08/02/2013 11:50:17
21,20,75,08/02/2013 11:50:19
22,20,75,08/02/2013 11:50:21
23,20,75,08/02/2013 11:50:23
24,20,75,08/02/2013 11:50:25
25,20,75,08/02/2013 11:50:27
26,20,75,08/02/2013 11:50:29
27,20,75,08/02/2013 11:50:31
28,20,75,08/02/2013 11:50:33
29,20,75,08/02/2013 11:50:35
30,20,75,08/02/2013 11:50:37
31,20,75,08/02/2013 11:50:39
32,20,75,08/02/2013 11:50:41
33,20,75,08/02/2013 11:50:43
34,20,75,08/02/2013 11:50:45
35,20,75,08/02/2013 11:50:47
36,20,75,08/02/2013 11:50:49
37,20,75,08/02/2013 11:50:51
38,20,75,08/02/2013 11:50:53
39,20,75,08/02/2013 11:50:55
40,20,75,08/02/2013 11:50:57
41,20,75,08/02/2013 11:50:59
42,20,75,08/02/2013 11:51:01
43,20,75,08/02/2013 11:51:03
44,20,75,08/02/2013 11:51:05
45,20,75,08/02/2013 11:51:07
46,20,75,08/02/2013 11:51:09
47,20,75,08/02/2013 11:51:11
48,20,75,08/02/2013 11:51:13
49,20,75,08/02/2013 11:51:15
50,20,75,08/02/2013 11:51:17
51,20,75,08/02/2013 11:51:19
52,20,75,08/02/2013 11:51:21
53,20,75,08/02/2013 11:51:23
54,20,75,08/02/2013 11:51:25
55,20,75,08/02/2013 11:51:27
56,20,75,08/02/2013 11:51:29
57,20,75,08/02/2013 11:51:31
58,20,75,08/02/2013 11:51:33
59,20,75,08/02/2013 11:51:35
60,20,75,08/02/2013 11:51:37
61,20,75,08/02/2013 11:51:39
62,20,75,08/02/2013 11:51:41
63,20,75,08/02/2013 11:51:43
64,20,75,08/02/2013 11:51:45
65,20,75,08/02/2013 11:51:47
66,20,75,08/02/2013 11:51:49
67,20,75,08/02/2013 11:51:51
68,20,75,08/02/2013 11:51:53
69,20,75,08/02/2013 11:51:55
70,20,75,08/02/2013 11:51:57
71,20,75,08/02/2013 11:51:59
72,20,75,08/02/2013 11:52:01
73,20,75,08/02/2013 11:52:03
74,20,75,08/02/2013 11:52:05
75,20,75,08/02/2013 11:52:07
76,20,75,08/02/2013 11:52:09
77,20,75,08/02/2013 11:52:11
78,20,75,08/02/2013 11:52:13
79,20,75,08/02/2013 11:52:15
80,20,75,08/02/2013 11:52:17
81,20,75,08/02/2013 11:52:19
82,20,75,08/02/2013 11:52:21
83,20,75,08/02/2013 11:52:23
84,20,75,08/02/2013 11:52:25
85,20,75,08/02/2013 11:52:27
86,20,75,08/02/2013 11:52:29
87,20,75,08/02/2013 11:52:31
88,20,88,08/02/2013 11:52:33
89,20,75,08/02/2013 11:52:35
90,20,75,08/02/2013 11:52:37
91,20,75,08/02/2013 11:52:39
92,20,75,08/02/2013 11:52:41
93,20,75,08/02/2013 11:52:43
94,20,88,08/02/2013 11:52:45
95,20,88,08/02/2013 11:52:47
96,20,88,08/02/2013 11:52:49
97,20,88,08/02/2013 11:52:52
98,20,88,08/02/2013 11:52:54
99,20,88,08/02/2013 11:52:56
100,20,88,08/02/2013 11:52:58
101,20,88,08/02/2013 11:53:00
102,20,88,08/02/2013 11:53:02
103,20,88,08/02/2013 11:53:04
104,20,88,08/02/2013 11:53:06
105,20,88,08/02/2013 11:53:08
106,20,88,08/02/2013 11:53:10
107,20,88,08/02/2013 11:53:12
108,20,88,08/02/2013 11:53:14
109,20,88,08/02/2013 11:53:16
110,20,88,08/02/2013 11:53:18
111,20,88,08/02/2013 11:53:20
112,20,88,08/02/2013 11:53:22
113,20,88,08/02/2013 11:53:24
114,20,88,08/02/2013 11:53:26
115,20,88,08/02/2013 11:53:28
116,20,88,08/02/2013 11:53:30
117,20,88,08/02/2013 11:53:32
118,20,88,08/02/2013 11:53:34
119,20,88,08/02/2013 11:53:36
120,20,88,08/02/2013 11:53:38
121,20,88,08/02/2013 11:53:40
122,20,88,08/02/2013 11:53:42
123,20,88,08/02/2013 11:53:44
124,20,88,08/02/2013 11:53:46
125,20,88,08/02/2013 11:53:48
126,20,88,08/02/2013 11:53:50
127,20,88,08/02/2013 11:53:52
128,20,88,08/02/2013 11:53:54
129,20,88,08/02/2013 11:53:56
130,20,88,08/02/2013 11:53:58
131,20,88,08/02/2013 11:54:00
132,20,88,08/02/2013 11:54:02
133,20,88,08/02/2013 11:54:04
134,20,88,08/02/2013 11:54:06
135,20,88,08/02/2013 11:54:08
136,20,88,08/02/2013 11:54:10
137,20,88,08/02/2013 11:54:12
138,20,88,08/02/2013 11:54:14
139,20,88,08/02/2013 11:54:16
140,20,88,08/02/2013 11:54:18
141,20,88,08/02/2013 11:54:20
142,20,88,08/02/2013 11:54:22
143,20,88,08/02/2013 11:54:24
144,20,88,08/02/2013 11:54:26
145,20,88,08/02/2013 11:54:28
146,20,88,08/02/2013 11:54:30
147,20,88,08/02/2013 11:54:32
148,20,88,08/02/2013 11:54:34
149,20,88,08/02/2013 11:54:36
150,20,88,08/02/2013 11:54:39
151,20,88,08/02/2013 11:54:40
152,20,88,08/02/2013 11:54:42
153,20,88,08/02/2013 11:54:44
154,20,88,08/02/2013 11:54:46
155,20,88,08/02/2013 11:54:48
156,20,88,08/02/2013 11:54:50
157,20,88,08/02/2013 11:54:52
158,20,88,08/02/2013 11:54:54
159,20,88,08/02/2013 11:54:56
160,20,88,08/02/2013 11:54:58
161,20,88,08/02/2013 11:55:00
162,20,88,08/02/2013 11:55:02
163,20,88,08/02/2013 11:55:04
164,20,88,08/02/2013 11:55:06
165,20,88,08/02/2013 11:55:08
166,20,88,08/02/2013 11:55:10
167,20,88,08/02/2013 11:55:12
168,20,88,08/02/2013 11:55:14
169,20,88,08/02/2013 11:55:16
170,20,88,08/02/2013 11:55:18
